latitude,longitude,acq_date,acq_time,confidence,frp,instrument,satellite,acq_datetime
27.00881,76.55927,2026-02-15,0802,n,2.15,VIIRS,N,2026-02-15 08:02:00
27.17161,75.50048,2026-02-15,0802,l,5.74,VIIRS,N,2026-02-15 08:02:00
27.17289,75.48715,2026-02-15,0802,l,3.63,VIIRS,N,2026-02-15 08:02:00
27.17361,75.49136,2026-02-15,0802,n,4.91,VIIRS,N,2026-02-15 08:02:00
27.17432,75.49555,2026-02-15,0802,l,4.91,VIIRS,N,2026-02-15 08:02:00
27.7106,76.42234,2026-02-15,0802,n,2.77,VIIRS,N,2026-02-15 08:02:00
27.71136,76.40573,2026-02-15,0802,n,2.7,VIIRS,N,2026-02-15 08:02:00
27.82233,76.8923,2026-02-15,0802,n,3.4,VIIRS,N,2026-02-15 08:02:00
27.83227,76.07059,2026-02-15,0802,n,6.51,VIIRS,N,2026-02-15 08:02:00
27.91287,76.21703,2026-02-15,0802,n,2.01,VIIRS,N,2026-02-15 08:02:00
27.96778,76.19315,2026-02-15,0802,n,5.43,VIIRS,N,2026-02-15 08:02:00
28.00763,76.39548,2026-02-15,0802,n,6.34,VIIRS,N,2026-02-15 08:02:00
28.01096,76.39481,2026-02-15,0802,n,6.34,VIIRS,N,2026-02-15 08:02:00
28.25027,77.63631,2026-02-15,0802,n,3.31,VIIRS,N,2026-02-15 08:02:00
28.31774,78.06104,2026-02-15,0802,n,2.87,VIIRS,N,2026-02-15 08:02:00
28.3286,75.66144,2026-02-15,0802,n,10.33,VIIRS,N,2026-02-15 08:02:00
28.3857,78.12872,2026-02-15,0802,n,3.5,VIIRS,N,2026-02-15 08:02:00
28.40106,75.7569,2026-02-15,0802,n,1.98,VIIRS,N,2026-02-15 08:02:00
28.40396,78.27475,2026-02-15,0802,n,1.82,VIIRS,N,2026-02-15 08:02:00
28.56589,75.69658,2026-02-15,0802,n,4.36,VIIRS,N,2026-02-15 08:02:00
28.56755,78.24012,2026-02-15,0802,n,2.43,VIIRS,N,2026-02-15 08:02:00
28.65073,77.7764,2026-02-15,0802,n,1.94,VIIRS,N,2026-02-15 08:02:00
28.671,79.35795,2026-02-15,0802,n,2.25,VIIRS,N,2026-02-15 08:02:00
28.7178,75.61817,2026-02-15,0802,n,5.15,VIIRS,N,2026-02-15 08:02:00
28.71904,75.58382,2026-02-15,0802,n,1.82,VIIRS,N,2026-02-15 08:02:00
28.73358,76.6897,2026-02-15,0802,n,9.36,VIIRS,N,2026-02-15 08:02:00
28.73627,76.68507,2026-02-15,0802,n,9.36,VIIRS,N,2026-02-15 08:02:00
28.78539,75.8154,2026-02-15,0802,n,20.07,VIIRS,N,2026-02-15 08:02:00
28.7874,75.74323,2026-02-15,0802,n,5.27,VIIRS,N,2026-02-15 08:02:00
28.78807,75.74731,2026-02-15,0802,n,6.32,VIIRS,N,2026-02-15 08:02:00
28.78855,76.25656,2026-02-15,0802,n,1.75,VIIRS,N,2026-02-15 08:02:00
28.78875,75.81469,2026-02-15,0802,n,4.64,VIIRS,N,2026-02-15 08:02:00
28.79009,75.75955,2026-02-15,0802,n,6.64,VIIRS,N,2026-02-15 08:02:00
28.79143,75.74659,2026-02-15,0802,n,6.38,VIIRS,N,2026-02-15 08:02:00
28.79211,75.75067,2026-02-15,0802,n,6.38,VIIRS,N,2026-02-15 08:02:00
28.79345,75.75883,2026-02-15,0802,n,5.37,VIIRS,N,2026-02-15 08:02:00
28.80312,77.42029,2026-02-15,0802,n,1.53,VIIRS,N,2026-02-15 08:02:00
28.84991,75.88287,2026-02-15,0802,l,2.03,VIIRS,N,2026-02-15 08:02:00
28.86289,76.67577,2026-02-15,0802,n,2.05,VIIRS,N,2026-02-15 08:02:00
28.88606,76.67103,2026-02-15,0802,l,2.63,VIIRS,N,2026-02-15 08:02:00
28.88669,76.67497,2026-02-15,0802,n,2.63,VIIRS,N,2026-02-15 08:02:00
28.90287,75.82538,2026-02-15,0802,n,4.23,VIIRS,N,2026-02-15 08:02:00
28.938,75.86454,2026-02-15,0802,n,4.65,VIIRS,N,2026-02-15 08:02:00
28.94135,75.86383,2026-02-15,0802,n,4.65,VIIRS,N,2026-02-15 08:02:00
28.97121,78.66913,2026-02-15,0802,n,1.66,VIIRS,N,2026-02-15 08:02:00
29.01127,77.05571,2026-02-15,0802,n,2.32,VIIRS,N,2026-02-15 08:02:00
29.02694,77.69164,2026-02-15,0802,n,1.84,VIIRS,N,2026-02-15 08:02:00
29.04177,75.72912,2026-02-15,0802,n,3.37,VIIRS,N,2026-02-15 08:02:00
29.04188,78.08215,2026-02-15,0802,l,1.34,VIIRS,N,2026-02-15 08:02:00
29.07797,76.34195,2026-02-15,0802,n,3.0,VIIRS,N,2026-02-15 08:02:00
29.10027,78.9375,2026-02-15,0802,n,2.84,VIIRS,N,2026-02-15 08:02:00
29.12904,76.11247,2026-02-15,0802,n,1.89,VIIRS,N,2026-02-15 08:02:00
29.16994,79.06381,2026-02-15,0802,n,2.9,VIIRS,N,2026-02-15 08:02:00
29.2027,75.43229,2026-02-15,0802,n,1.77,VIIRS,N,2026-02-15 08:02:00
29.20607,75.43155,2026-02-15,0802,l,13.62,VIIRS,N,2026-02-15 08:02:00
29.28545,76.17526,2026-02-15,0802,n,2.11,VIIRS,N,2026-02-15 08:02:00
29.37939,77.80695,2026-02-15,0802,n,2.42,VIIRS,N,2026-02-15 08:02:00
29.39984,77.49011,2026-02-15,0802,n,1.31,VIIRS,N,2026-02-15 08:02:00
29.48645,78.73474,2026-02-15,0802,n,2.45,VIIRS,N,2026-02-15 08:02:00
29.53077,77.5752,2026-02-15,0802,n,3.58,VIIRS,N,2026-02-15 08:02:00
29.53564,77.15964,2026-02-15,0802,n,1.51,VIIRS,N,2026-02-15 08:02:00
29.6216,79.30735,2026-02-15,0802,n,4.2,VIIRS,N,2026-02-15 08:02:00
29.63928,77.33009,2026-02-15,0802,n,2.13,VIIRS,N,2026-02-15 08:02:00
29.6495,78.19444,2026-02-15,0802,n,1.37,VIIRS,N,2026-02-15 08:02:00
29.67357,78.50493,2026-02-15,0802,n,2.21,VIIRS,N,2026-02-15 08:02:00
29.69532,79.4178,2026-02-15,0802,n,3.96,VIIRS,N,2026-02-15 08:02:00
29.69739,77.53424,2026-02-15,0802,n,2.93,VIIRS,N,2026-02-15 08:02:00
29.69875,79.41724,2026-02-15,0802,n,3.96,VIIRS,N,2026-02-15 08:02:00
29.69933,79.42151,2026-02-15,0802,n,2.84,VIIRS,N,2026-02-15 08:02:00
29.70117,78.05692,2026-02-15,0802,n,2.65,VIIRS,N,2026-02-15 08:02:00
29.74143,77.31007,2026-02-15,0802,n,1.78,VIIRS,N,2026-02-15 08:02:00
29.75354,78.43973,2026-02-15,0802,l,1.13,VIIRS,N,2026-02-15 08:02:00
29.75452,79.36344,2026-02-15,0802,n,2.59,VIIRS,N,2026-02-15 08:02:00
29.79249,75.5208,2026-02-15,0802,n,7.31,VIIRS,N,2026-02-15 08:02:00
29.79311,78.37019,2026-02-15,0802,n,4.31,VIIRS,N,2026-02-15 08:02:00
29.79863,78.36083,2026-02-15,0802,n,2.07,VIIRS,N,2026-02-15 08:02:00
29.7992,78.36486,2026-02-15,0802,n,2.07,VIIRS,N,2026-02-15 08:02:00
29.80278,77.15925,2026-02-15,0802,n,3.75,VIIRS,N,2026-02-15 08:02:00
29.80953,75.37178,2026-02-15,0802,n,7.63,VIIRS,N,2026-02-15 08:02:00
29.81022,75.37592,2026-02-15,0802,n,7.63,VIIRS,N,2026-02-15 08:02:00
29.81289,75.37104,2026-02-15,0802,n,7.63,VIIRS,N,2026-02-15 08:02:00
29.81358,75.37518,2026-02-15,0802,l,7.63,VIIRS,N,2026-02-15 08:02:00
29.86012,75.21059,2026-02-15,0802,n,3.8,VIIRS,N,2026-02-15 08:02:00
29.86082,75.21477,2026-02-15,0802,n,2.68,VIIRS,N,2026-02-15 08:02:00
29.89748,78.73982,2026-02-15,0802,n,4.72,VIIRS,N,2026-02-15 08:02:00
29.90371,75.07558,2026-02-15,0802,n,4.39,VIIRS,N,2026-02-15 08:02:00
29.90638,75.07063,2026-02-15,0802,n,3.55,VIIRS,N,2026-02-15 08:02:00
29.9071,75.07482,2026-02-15,0802,n,4.5,VIIRS,N,2026-02-15 08:02:00
29.90781,75.07903,2026-02-15,0802,n,4.5,VIIRS,N,2026-02-15 08:02:00
29.91602,75.08591,2026-02-15,0802,n,6.18,VIIRS,N,2026-02-15 08:02:00
29.97587,79.0725,2026-02-15,0802,n,4.83,VIIRS,N,2026-02-15 08:02:00
29.99452,79.36012,2026-02-15,0802,n,5.75,VIIRS,N,2026-02-15 08:02:00
29.99748,79.36058,2026-02-15,0802,n,4.16,VIIRS,N,2026-02-15 08:02:00
29.99927,79.34791,2026-02-15,0802,n,3.78,VIIRS,N,2026-02-15 08:02:00
30.026,79.46841,2026-02-15,0802,n,5.01,VIIRS,N,2026-02-15 08:02:00
30.03635,77.00298,2026-02-15,0802,n,2.43,VIIRS,N,2026-02-15 08:02:00
30.11095,79.47209,2026-02-15,0802,n,5.3,VIIRS,N,2026-02-15 08:02:00
30.11147,79.47599,2026-02-15,0802,n,5.3,VIIRS,N,2026-02-15 08:02:00
30.15092,77.90194,2026-02-15,0802,n,4.15,VIIRS,N,2026-02-15 08:02:00
30.30179,78.36282,2026-02-15,0802,n,3.06,VIIRS,N,2026-02-15 08:02:00
30.31412,78.77798,2026-02-15,0802,n,3.34,VIIRS,N,2026-02-15 08:02:00
30.35216,74.2085,2026-02-15,0802,n,2.39,VIIRS,N,2026-02-15 08:02:00
30.37139,76.60825,2026-02-15,0802,n,3.21,VIIRS,N,2026-02-15 08:02:00
30.42899,78.92574,2026-02-15,0802,n,5.51,VIIRS,N,2026-02-15 08:02:00
30.50348,74.41285,2026-02-15,0802,n,1.8,VIIRS,N,2026-02-15 08:02:00
30.5439,76.32536,2026-02-15,0802,n,3.03,VIIRS,N,2026-02-15 08:02:00
30.77938,78.31989,2026-02-15,0802,l,5.02,VIIRS,N,2026-02-15 08:02:00
30.78213,78.31503,2026-02-15,0802,l,3.67,VIIRS,N,2026-02-15 08:02:00
30.79026,78.02477,2026-02-15,0802,n,2.84,VIIRS,N,2026-02-15 08:02:00
30.90602,76.6226,2026-02-15,0802,n,1.14,VIIRS,N,2026-02-15 08:02:00
30.96859,74.4808,2026-02-15,0802,n,1.32,VIIRS,N,2026-02-15 08:02:00
31.01427,74.50352,2026-02-15,0802,n,3.14,VIIRS,N,2026-02-15 08:02:00
31.06235,75.67799,2026-02-15,0802,n,3.63,VIIRS,N,2026-02-15 08:02:00
31.07861,77.70219,2026-02-15,0802,n,8.09,VIIRS,N,2026-02-15 08:02:00
31.10142,75.20998,2026-02-15,0802,n,2.4,VIIRS,N,2026-02-15 08:02:00
31.10369,74.0836,2026-02-15,0802,n,1.67,VIIRS,N,2026-02-15 08:02:00
31.12307,77.49467,2026-02-15,0802,n,6.15,VIIRS,N,2026-02-15 08:02:00
31.12637,77.49395,2026-02-15,0802,n,2.1,VIIRS,N,2026-02-15 08:02:00
31.16494,77.75632,2026-02-15,0802,l,2.04,VIIRS,N,2026-02-15 08:02:00
31.184,75.84541,2026-02-15,0802,n,3.66,VIIRS,N,2026-02-15 08:02:00
31.18525,78.13388,2026-02-15,0802,n,3.5,VIIRS,N,2026-02-15 08:02:00
31.20396,76.1212,2026-02-15,0802,n,3.06,VIIRS,N,2026-02-15 08:02:00
31.24389,77.62774,2026-02-15,0802,n,3.12,VIIRS,N,2026-02-15 08:02:00
31.24662,77.62311,2026-02-15,0802,n,5.76,VIIRS,N,2026-02-15 08:02:00
31.24719,77.62704,2026-02-15,0802,n,7.34,VIIRS,N,2026-02-15 08:02:00
31.25913,77.13674,2026-02-15,0802,n,3.83,VIIRS,N,2026-02-15 08:02:00
31.26241,77.136,2026-02-15,0802,l,2.91,VIIRS,N,2026-02-15 08:02:00
31.30949,76.29553,2026-02-15,0802,n,3.93,VIIRS,N,2026-02-15 08:02:00
31.3261,75.6982,2026-02-15,0802,n,3.56,VIIRS,N,2026-02-15 08:02:00
31.32676,75.70227,2026-02-15,0802,n,3.56,VIIRS,N,2026-02-15 08:02:00
31.38054,77.59458,2026-02-15,0802,n,3.87,VIIRS,N,2026-02-15 08:02:00
31.42477,77.50106,2026-02-15,0802,n,5.3,VIIRS,N,2026-02-15 08:02:00
31.42537,77.50517,2026-02-15,0802,n,5.3,VIIRS,N,2026-02-15 08:02:00
28.34725,77.25765,2026-02-15,2025,n,1.08,VIIRS,N,2026-02-15 20:25:00
28.34758,77.25505,2026-02-15,2025,n,0.77,VIIRS,N,2026-02-15 20:25:00
28.72756,77.15704,2026-02-15,2025,n,0.33,VIIRS,N,2026-02-15 20:25:00
28.78466,76.94715,2026-02-15,2025,n,0.55,VIIRS,N,2026-02-15 20:25:00
28.81904,77.16436,2026-02-15,2025,n,0.65,VIIRS,N,2026-02-15 20:25:00
29.12443,75.77782,2026-02-15,2025,n,1.29,VIIRS,N,2026-02-15 20:25:00
29.1251,75.77208,2026-02-15,2025,n,1.25,VIIRS,N,2026-02-15 20:25:00
29.19716,76.22735,2026-02-15,2025,n,1.5,VIIRS,N,2026-02-15 20:25:00
29.20101,76.22797,2026-02-15,2025,n,2.52,VIIRS,N,2026-02-15 20:25:00
29.90796,79.43864,2026-02-15,2025,n,0.67,VIIRS,N,2026-02-15 20:25:00
29.99163,79.36475,2026-02-15,2025,n,0.44,VIIRS,N,2026-02-15 20:25:00
29.99224,79.3605,2026-02-15,2025,n,0.8,VIIRS,N,2026-02-15 20:25:00
29.99499,79.36557,2026-02-15,2025,n,0.7,VIIRS,N,2026-02-15 20:25:00
30.10785,79.47919,2026-02-15,2025,n,0.61,VIIRS,N,2026-02-15 20:25:00
30.3707,78.87785,2026-02-15,2025,n,1.24,VIIRS,N,2026-02-15 20:25:00
30.37126,78.87379,2026-02-15,2025,n,0.51,VIIRS,N,2026-02-15 20:25:00
30.40905,78.31032,2026-02-15,2025,n,0.64,VIIRS,N,2026-02-15 20:25:00
30.61595,79.2137,2026-02-15,2025,n,0.99,VIIRS,N,2026-02-15 20:25:00
30.6193,79.21481,2026-02-15,2025,n,0.99,VIIRS,N,2026-02-15 20:25:00
31.04967,78.77776,2026-02-15,2025,n,1.64,VIIRS,N,2026-02-15 20:25:00
31.05022,78.78114,2026-02-15,2025,n,1.1,VIIRS,N,2026-02-15 20:25:00
31.05081,78.77673,2026-02-15,2025,n,1.1,VIIRS,N,2026-02-15 20:25:00
31.05303,78.77918,2026-02-15,2025,n,1.64,VIIRS,N,2026-02-15 20:25:00
31.0536,78.78265,2026-02-15,2025,n,1.1,VIIRS,N,2026-02-15 20:25:00
31.1098,78.30983,2026-02-15,2025,n,1.58,VIIRS,N,2026-02-15 20:25:00
31.11636,77.63539,2026-02-15,2025,n,0.85,VIIRS,N,2026-02-15 20:25:00
31.12003,77.63596,2026-02-15,2025,n,0.43,VIIRS,N,2026-02-15 20:25:00
31.2493,76.92754,2026-02-15,2025,n,0.51,VIIRS,N,2026-02-15 20:25:00
31.38224,77.58716,2026-02-15,2025,n,1.94,VIIRS,N,2026-02-15 20:25:00
31.4231,77.50243,2026-02-15,2025,n,0.95,VIIRS,N,2026-02-15 20:25:00
31.4843,77.54202,2026-02-15,2025,n,1.46,VIIRS,N,2026-02-15 20:25:00
31.48481,77.53796,2026-02-15,2025,n,1.46,VIIRS,N,2026-02-15 20:25:00
27.35231,78.18971,2026-02-16,0741,n,4.28,VIIRS,N,2026-02-16 07:41:00
27.43063,76.00173,2026-02-16,0741,n,2.41,VIIRS,N,2026-02-16 07:41:00
